Company,Job,Location,Salary,Skills
Cincinnati Children's Hospital,Clinical Laboratory Specialist III,"Cincinnati, OH",0,
Cincinnati Children's Hospital,Assistant Professor - Ocular Genetics,"Cincinnati, OH",0,
CDK Global,Client Technical Analyst - Internet Protocol Telephony,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
Procter & Gamble,Information Technology Co-op,"Cincinnati, OH",0,
P&G,IT Manager - Data & Analytics,"Cincinnati, OH",0,
Cincinnati Children's Hospital,Assistant Professor,"Cincinnati, OH",0,
CDK Global,Help Desk - Systems/Hardware,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
TriHealth,CLINICAL RESEARCH FINANCIAL ANALYST,"Cincinnati, OH",0,
Kinectrics Inc.,Technician,"Cincinnati, OH",0,
CDK Global,Client Technical Analyst - Network Support,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
CDK Global,Client Technical Analyst - Service Edge,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
Vantiv,Data Scientist,"Cincinnati, OH 45249",0,
PPD,"VP, Global Product Development (Neuroscience)-HOME-BASED","Highland Heights, KY",0,
CDK Global,Client Technical Analyst - Automotive Dealer System,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
Verizon,Senior Data Scientist,"Mason, OH 45040",0,
Cincinnati Children's Hospital,Research Fellow - Immunology and Pathogenesis of Biliary Atr...,"Cincinnati, OH",0,
PPD,"Research Scientist - Molecular / Genomic Services, Biomarker...","Highland Heights, KY",0,
U.S. Bank,Data Scientist,"Cincinnati, OH",0,
P&G,Research and Development - PhD - Human Safety Toxicologist,"Cincinnati, OH",0,
University of Cincinnati,"Assistant, Associate or Professor - (Open Rank -Tenured or T...","Cincinnati, OH",0,
Cincinnati Children's Hospital,Research Fellow - Pulmonary Imaging,"Cincinnati, OH",0,
Cincinnati Children's Hospital,Medical Laboratory Scientist,"Cincinnati, OH",0,
CDK Global,Client Tech Support - SQL Database,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
Stantec,Project Manager/Senior Environmental Scientist,"Cincinnati, OH",0,
TriHealth,DATA SCIENTIST,"Cincinnati, OH",0,
University of Cincinnati,Clinical Laboratory Scientist - Hoxworth Blood Center,"Cincinnati, OH",0,
CDK Global,Client Technical Analyst - Front Office,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
GE Digital,Lead Full Stack Developer – Enterprise Analytics,"Cincinnati, OH",0,
Selby Jennings,Research Analyst- 8.5bn AUM Wealth Management,"Cincinnati, OH","$100,000 - $125,000 a year",
CDK Global,Client Technical Analyst - Parts and Service,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
CTI Clinical Trial and Consulting Services,Clinical Safety Scientist,"Cincinnati, OH 45242",0,
PPD,Validation Scientist / Med Tech - Method Testing and Validat...,"Highland Heights, KY",0,
Belcan TechServices,Principal Electrical Engineer - Research,"West Chester, OH",0,
CDK Global,Client Support - Accounting/Payroll Software,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
HGC Construction,Data Engineer/Scientist,"Cincinnati, OH 45208 (Hyde Park area)",0,
P&G,Research and Development - Postdoc - Vibrational Spectroscop...,"Cincinnati, OH",0,
Total Quality Logistics (TQL),Data Analyst - Statistician,"Cincinnati, OH 45245",0,
CDK Global,Client Technical Analyst - Front End Solutions,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
CDK Global,Client Technical Analyst - Data Storage Data Archive,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
Cincinnati Children's Hospital,"Assistant-Associate Professor - Endocrinology, Diabetes & Me...","Cincinnati, OH",0,
Oak Ridge Associated Universities,Risk Assessment of Using Natural Coastal Wetlands for Wastew...,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
Sogeti,Big Data Architect,"Cincinnati, OH",0,
The E.W. Scripps Company,Data Analyst / Curator,"Cincinnati, OH 45202 (Mount Adams area)",0,
Strategic IT Staffing,Senior DevOps Engineer,"Cincinnati, OH",0,
GE Digital,Data Science Specialist,"Cincinnati, OH",0,
Procter & Gamble,Research and Development - Postdoc - Vibrational Spectroscop...,"Cincinnati, OH",0,
Makino,Data Science Specialist,"Mason, OH 45040",0,
Convergys,Analyst Research Analytics,"Cincinnati, OH 45202 (Mount Adams area)",0,
Givaudan,Research Scientist / Research Investigator,"Cincinnati, OH",0,
P&G,Research and Development - PhD - Statistician,"Cincinnati, OH",0,
Medpace,Statistical Analyst I,"Cincinnati, OH 45227",0,
CDK Global,Client Support - Database- Bi-lingual Spanish Needed,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
Procter & Gamble,Research and Development - PhD - Internship - Machine Learni...,"Cincinnati, OH",0,
Assurex Health,Statistician,"Mason, OH 45040",0,
Kao Corporation,Research Scientist,"Cincinnati, OH 45214 (South Fairmount area)",0,
GE Digital,Lead Data Solutions Scientist,"Cincinnati, OH",0,
Dynamic Catholic,Prospect Research Analyst,"Cincinnati, OH",0,
Kao Corporation,Research & Development Scientist,"Cincinnati, OH 45214 (South Fairmount area)",0,
Ipsos North America,Market Research Analyst - Analyst Development Program,"Cincinnati, OH",0,
P&G,Information Technology 2017 Internship,"Cincinnati, OH",0,
City of Cincinnati,Co-Op/Intern (WATER QUALITY & TREATMENT),"Cincinnati, OH",$13.75 - $16.75 an hour,
Cincinnati Zoo & Botanical Garden,CREW - Schmidlapp Scholar - Plant Research Division,"Cincinnati, OH 45220 (Clifton area)",0,
Zinger Solutions,Data Analytics Manager/BI,"Cincinnati, OH",0,
Fifth Third Bank,Quantitative Analyst,"Cincinnati, OH 45202 (Mount Adams area)",0,
Select Laboratory Partners,Clinical Scientist/LCMS Operator,"Cincinnati, OH",0,
AdvancePierre Foods,Food Scientist-Assembled Products,"West Chester, OH",0,
Brokerage Consultants Inc.,Research Analyst (1104-1),"Cincinnati, OH",0,
Medpace,"Data Scientist, Analytics","Cincinnati, OH 45227",0,
CDK Global,Client Tech Analyst DASH,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
The Cincinnati Insurance Companies,Actuarial - Predictive Modeling Manager,"Fairfield, OH",0,
"Civil & Environmental Consultants, Inc.",Wetland Scientist/Project Manager,"Cincinnati, OH",0,
Cincinnati Children's Hospital,Financial Analyst I - Asthma Research,"Cincinnati, OH",0,
CDK Global,Client Services Rep/ Help Desk,"Cincinnati, OH 45212 (Pleasant Ridge area)",0,
GE Digital,Data Solutions Scientist,"Cincinnati, OH",0,
Cincinnati Children's Hospital,Research Fellow - Data & Tech,"Cincinnati, OH",0,
Cincinnati Children's Hospital,Research Assistant I - Pulmonary Imaging Research,"Cincinnati, OH",0,
University of Cincinnati,Research Scientist - Immunology,"Cincinnati, OH",0,
"AtriCure, Inc.",Principal Electrical Engineer - Research,"Cincinnati, OH",0,
P&G,Information Technology Co-op,"Cincinnati, OH",0,
Givaudan,Global R&D Sensory Project Manager - Flavor Science,"Cincinnati, OH",0,
Sterling Payment Technologies,Research Analyst,"Cincinnati, OH",0,
Procter & Gamble,Associate IT Manager - Data & Analytics,"Cincinnati, OH",0,
SKYLINE RECRUITING SOLUTIONS,Quantitative Risk Analyst,"Cincinnati, OH",0,
P&G,Associate IT Manager - Data & Analytics,"Cincinnati, OH",0,
Fifth Third Bank,Sr. Quantitative Analyst - Credit Risk.,"Cincinnati, OH",0,
"Beckman Coulter, Inc.",Field Service Engineer,"Cincinnati, OH",0,
Procter & Gamble,Information Technology Manager - Data & Analytics,"Cincinnati, OH",0,
Procter & Gamble,Information Technology 2017 Internship,"Cincinnati, OH",0,
Data Intensity,Big Data and Advanced Analytics Practice Manager,"Covington, KY",0,
University of Cincinnati,Professor of Genetics & Genomics Psychiatry,"Cincinnati, OH",0,
Kao Corporation,Senior Research Scientist,"Cincinnati, OH 45214 (South Fairmount area)",0,
Procter & Gamble,Research and Development - PhD - Statistician,"Cincinnati, OH",0,
The Judson Group,Equity Research Analyst,"Cincinnati, OH",0,
CDK Global,"Manager, HR Compliance","Cincinnati, OH 45212 (Pleasant Ridge area)",0,
Cincinnati Zoo & Botanical Garden,Research Associate,"Cincinnati, OH 45220 (Clifton area)","$32,000 - $35,000 a year",
Fifth Third Bank,Senior Quantitative Analyst-Commercial Credit CCAR,"Cincinnati, OH 45277",0,
Gilead Sciences,Research Scientist I- HBV Discovery Virology,"Foster City, CA",0,
Facebook,"Technical Program Manager, Ads Machine Learning","Menlo Park, CA",0,
AstraZeneca,"Scientist I, Fluorescent Microscopy & Bioanalysis -- (Mounta...","Mountain View, CA",0,
Gilead Sciences,Research Scientist I- Analytical Operations,"Foster City, CA",0,
Google,People Operations Alphabet Benefits Program Manager,"Mountain View, CA",0,
Quartzy,Event Marketing Specialist,"Palo Alto, CA",0,
"PARC, a Xerox company",Computer Vision R&D Scientist,"Palo Alto, CA",0,
Theranos,"Scientist, Cell-based Assay Development","Palo Alto, CA",0,
Theranos,"Scientist, Molecular Diagnostic Assay Development","Palo Alto, CA",0,
Facebook,Research Scientist (AI),"Menlo Park, CA",0,
10X Genomics,Applications Data Analyst,"Pleasanton, CA",0,
DJI,Deep Learning Computer Vision and Machine Perception Enginee...,"Palo Alto, CA",0,
Ayasdi,Technical Writer,"Menlo Park, CA 94025",0,
Insight Data Science,Content Marketing Manager,"Palo Alto, CA",0,
Exponent,Managing Scientist,"Menlo Park, CA 94025",0,
Facebook,"Technical Program Manager, News Feed Science","Menlo Park, CA",0,
GoDaddy,Manager - Advanced Analytics,"Sunnyvale, CA",0,
Exponent,Scientist/Engineer,"Menlo Park, CA 94025",0,
Stanford University,Institutional Research Analyst,"Stanford, CA 94305",0,
Wyle Laboratories,"Sr. Operations Specialist (Mountain View, CA)","Moffett Field, CA",0,
QTS,EVA Computer Scientist - NASA,"Mountain View, CA",0,
Apple,Research Scientists - Machine Learning,"Santa Clara Valley, CA",0,
Qeexo,"Machine Learning Engineer, Implementation","Mountain View, CA 94043",0,
TEEMA Solutions Group Inc.,Machine Learning Engineer,"Mountain View, CA","$150,000 - $200,000 a year",Python Java Hadoop Spark
Facebook,"Research Scientist, Connectivity Lab Intern","Menlo Park, CA",0,
C3 IoT,Machine Learning Engineer,"Redwood City, CA",0,
Intuit,"Group Manager, SBG Data Analytics & Science","Mountain View, CA 94039",0,
Google,Developer Programs Engineer (Machine Learning),"Mountain View, CA",0,
Slice Technologies & Unroll.me,Machine Learning Engineer - Information Extraction,"San Mateo, CA",0,
Apple,Siri Machine Learning Engineer,"Santa Clara Valley, CA",0,
SAP,Data Scientist Developer Job,"Palo Alto, CA",0,
Google,"Research Scientist, Machine Learning and Intelligence","Mountain View, CA",0,
Visa,Research Scientist,"Palo Alto, CA",0,
Google,"Software Engineer, Machine Learning","Mountain View, CA",0,
Theranos,"Scientist, Machine Learning","Palo Alto, CA",0,
Infoyogi Technologies Inc,Machine Learning- 433240,"Santa Clara, CA",0,
Umpqua Bank,Pivotus Ventures - Data Scientist - Palo Alto,"Palo Alto, CA","$100,000 - $160,000 a year",Python Java machine learning
Facebook,"Quantitative Scientist, People Analytics","Menlo Park, CA",0,
