Company,Job,Location,Skills,Salary_period,est_salary_yearly,Area
Selby Jennings,Research Analyst- 8.5bn AUM Wealth Management,"Cincinnati, OH",,year,112500.0,Cincinnati
City of Cincinnati,Co-Op/Intern (WATER QUALITY & TREATMENT),"Cincinnati, OH",,hour,31826.75,Cincinnati
Cincinnati Zoo & Botanical Garden,Research Associate,"Cincinnati, OH 45220 (Clifton area)",,year,33500.0,Cincinnati
TEEMA Solutions Group Inc.,Machine Learning Engineer,"Mountain View, CA",Python Java Hadoop Spark,year,175000.0,Mountain View
Umpqua Bank,Pivotus Ventures - Data Scientist - Palo Alto,"Palo Alto, CA",Python Java machine learning,year,130000.0,Palo Alto
Tetration Analytics,Senior Software Engineer - API,"Palo Alto, CA",,year,140000.0,Palo Alto
Workbridge Associates,Data Scientist,"Menlo Park, CA",,year,150000.0,Menlo Park
"K&M Systems, Inc.",Telco Data Scientist,"Santa Clara, CA",visualization,day,231400.0,Santa Clara
Jobspring Partners,Senior Front End Developer,"San Jose, CA 95113 (Downtown area)",,hour,151307.5,San Jose
Workbridge Associates,"Principal UX Designer, Autonomous Driving","Santa Clara, CA",,year,165000.0,Santa Clara
Jobspring Partners,Principal Scientist - ML,"San Jose, CA 95113 (Downtown area)",,year,190000.0,San Jose
Jobspring Partners,Machine Learning Engineer - Automotive,"San Jose, CA 95113 (Downtown area)",,year,185000.0,San Jose
Harnham,VP of Data Science,"Palo Alto, CA",SAS SQL Python Java machine learning,year,200000.0,Palo Alto
Jobspring Partners,Data Scientist- NLP/Machine Learning experience,"San Jose, CA 95113 (Downtown area)",,year,165000.0,San Jose
LinkedRoad Inc,Market Research Analyst,"Milpitas, CA 95035",SAS SPSS,hour,62610.0,Milpitas
"NextDeavor, Inc.",Tech Lead Full-Stack Engineer,"Mountain View, CA 94041",SQL Java Hadoop Spark machine learning,year,150000.0,Mountain View
Tandem Recruiting Group,Senior Machine Learning Scientist,"Santa Clara, CA",,year,200000.0,Santa Clara
Workbridge Associates,Lead Data Scientist,"San Jose, CA 95113 (Downtown area)",,year,165000.0,San Jose
Jobspring Partners,Software Developer in Test (C++ and Machine Learning),"Sunnyvale, CA",,hour,120002.5,Sunnyvale
Jobspring Partners,Data Scientist with NLP experience,"San Jose, CA 95113 (Downtown area)",,year,160000.0,San Jose
Tetration Analytics,Senior Software Engineer - Controller,"Palo Alto, CA",,year,140000.0,Palo Alto
Smith Hanley Associates,Senior Data Scientist,"San Jose, CA",SAS SQL Python Hadoop machine learning,year,80000.0,San Jose
Jobspring Partners,Backend Engineer- cool startup in Palo Alto,"Palo Alto, CA",,year,160000.0,Palo Alto
TERADEEP INC.,Machine Learning / Deep Learning Internship(s),"Campbell, CA",Python Java Perl machine learning,year,60000.0,Campbell
Tandem Recruiting Group,Computer Vision/Machine Learning Researcher,"Santa Clara, CA",Python Matlab machine learning,year,180000.0,Santa Clara
"NextDeavor, Inc.",Sr. Data Scientist,"Mountain View, CA 94041",Python Java Hadoop Perl,year,150000.0,Mountain View
TERADEEP INC.,STAFF DATA SCIENTIST / DEEP LEARNING,"Campbell, CA",Python Java Perl machine learning,year,140000.0,Campbell
Jobspring Partners,Technical Big Data Marketing Engineer,"San Jose, CA 95113 (Downtown area)",,year,150000.0,San Jose
