Company,Job,Location,Salary
Turn,"Scientist, Applied Science","Redwood City, CA 94063",0
eBay,Sr Manager Advertising Analytics,"San Jose, CA",0
"Cisco Systems, Inc.",Chief Scientist - Digital Simulation Modeling,"San Jose, CA",0
SAP,Data Scientist Product Manager Job,"Palo Alto, CA",0
Jazz Pharmaceuticals,"Clinical Scientist, Sleep Development","Palo Alto, CA 94304",0
Workbridge Associates,Principle Data Scientist,"San Jose, CA 95113 (Downtown area)","$100,000 - $200,000 a year"
Stride Search,Director of Analytics / Data Mining,"Sunnyvale, CA",0
Tesla Motors,Vehicle Test Engineer - Data Analysis Engineer - Durability,"Fremont, CA 94538 (Irvington area)",0
Centrillion,"Research Assistant/Associate, Product Science","Palo Alto, CA",0
Amazon Corporate LLC,"Applied Scientist, Alexa Artificial Intelligence","Sunnyvale, CA",0
Stanford University,Data Scientist-2 Positions,"Stanford, CA 94305",0
SAIC Innovation Center,Machine Learning Research Engineer (HMI),"San Jose, CA",0
Theranos,"Scientist, Bioinformatics","Palo Alto, CA",0
Tesla Motors,"Software Engineer, Web Tooling and Data Analysis","Palo Alto, CA",0
Facebook,"Applied Research Scientist, Speech Recognition Acoustic Mode...","Menlo Park, CA",0
Ford Motor Company,Autonomous Vehicle Research Scientist - Technology Scouting,"Palo Alto, CA",0
SanDisk,Sr Data Scientist Job,"Milpitas, CA",0
Entefy Inc.,Senior Machine Learning Engineer,"Palo Alto, CA",0
Thermo Fisher Scientific,Bioinformatics Scientist,"Santa Clara, CA",0
Verizon,Machine Learning,"San Jose, CA 95131 (North Valley area)",0
Google,"Product Analyst, Data Science","Mountain View, CA",0
Google,"Research Scientist, Machine Learning and Intelligence","Mountain View, CA",0
Google,Data Infrastructure & Analysis Software Engineer,"Mountain View, CA",0
Google,"Quantitative Analyst, Operations Decision Support","Mountain View, CA",0
Visa,Research Scientist,"Palo Alto, CA",0
Google,The Google Brain Residency 2017 Program (Fixed-Term Employme...,"Mountain View, CA",0
Infoyogi Technologies Inc,Machine Learning- 433240,"Santa Clara, CA",0
Google,"Software Engineer, Machine Learning & Artificial Intelligenc...","Mountain View, CA",0
Umpqua Bank,Pivotus Ventures - Data Scientist - Palo Alto,"Palo Alto, CA","$100,000 - $160,000 a year"
Google,"Software Engineer, Machine Learning on Hardware Accelerator","Mountain View, CA",0
Paragon,Quality Engineer DATA,"Mountain View, CA",0
Telenav,Sr. Engineering Manager,"Santa Clara, CA",0
Gilead Sciences,"Associate Scientist II, Immunology","Foster City, CA",0
Gilead,"Associate Scientist II, Immunology","Foster City, CA",0
Wako Life Sciences,Research Associate,"Mountain View, CA 94043",0
Walmart eCommerce,Senior Data Scientist,"Sunnyvale, CA",0
Centrillion,Research Scientist – Nucleic Acids Chemistry R&D,"Palo Alto, CA",0
Roche,"Scientist I, Sequencing","San Jose, CA",0
Baidu USA,Software Engineer -Autonomous Driving,"Sunnyvale, CA 94089",0
Google,"Software Engineer, Tools and Infrastructure, Self-Driving Ca...","Mountain View, CA",0
Facebook,"Software Engineer, Machine Learning, Building 8","Menlo Park, CA",0
Nauto,Machine Learning Engineer,"Palo Alto, CA",0
"Logyx, LLC",F/T Computer Scientist III Position Available Now!,"Mountain View, CA 94043",0
Coupang,Data Engineer,"Palo Alto, CA",0
Facebook,"Research Scientist, Connectivity Lab Intern","Menlo Park, CA",0
Apple,Sr. Data Scientist - Applied Machine Learning,"Santa Clara Valley, CA",0
Bosch,Research Scientist - Machine Learning,"Palo Alto, CA",0
